id,词语,词类标记,词类名称,出现次数,频率,累积频率
1516,来自,v,动词,877,0.0092,65.7438
1517,蒋介石,nh,人名,875,0.0092,65.753
1518,轻轻,a,形容词,874,0.0091,65.7621
1519,不得,vu,能愿动词,873,0.0091,65.7712
1520,要素,n,名词,872,0.0091,65.7803
1521,遇到,v,动词,872,0.0091,65.7894
1522,一系列,a,形容词,872,0.0091,65.7985
1523,任,v,动词,871,0.0091,65.8076
1524,做到,v,动词,871,0.0091,65.8349
1525,呈,v,动词,871,0.0091,65.8258
1526,收入,n,名词,871,0.0091,65.8167
1527,差异,n,名词,870,0.0091,65.844
1528,群,q,量词,869,0.0091,65.8531
1529,房子,n,名词,869,0.0091,65.8622
1530,看出,v,动词,868,0.0091,65.8713
1531,角度,n,名词,864,0.009,65.8803
1532,之外,nd,方位名词,864,0.009,65.8893
1533,色彩,n,名词,864,0.009,65.8983
1534,防止,v,动词,862,0.009,65.9073
1535,接近,v,动词,862,0.009,65.9163
1536,慢慢,a,形容词,862,0.009,65.9253
1537,设,v,动词,861,0.009,65.9343
1538,供,v,动词,860,0.009,65.9703
1539,休息,v,动词,860,0.009,65.9613
1540,增强,v,动词,860,0.009,65.9433
1541,简直,d,副词,860,0.009,65.9523
1542,那时,r,代词,860,0.009,65.9793
1543,逻辑,n,名词,859,0.009,65.9883
1544,附近,n,名词,859,0.009,65.9973
1545,液,n,名词,858,0.009,66.0063
1546,分别,v,动词,858,0.009,66.0153
1547,欢迎,v,动词,857,0.009,66.0333
1548,劳动力,n,名词,857,0.009,66.0243
1549,生理,n,名词,856,0.009,66.0513
1550,之前,nt,时间名词,856,0.009,66.0603
1551,听见,v,动词,856,0.009,66.0423
1552,节,n,名词,855,0.0089,66.0692
1553,究竟,d,副词,855,0.0089,66.0781
1554,既然,c,连词,855,0.0089,66.087
1555,停止,v,动词,854,0.0089,66.0959
1556,猪,n,名词,852,0.0089,66.1048
1557,子,n,名词,851,0.0089,66.1137
1558,却是,vl,联系动词,851,0.0089,66.1315
1559,很少,a,形容词,851,0.0089,66.1226
1560,须,d,副词,849,0.0089,66.1404
1561,养,v,动词,849,0.0089,66.1493
1562,管,n,名词,849,0.0089,66.1582
1563,英雄,n,名词,846,0.0089,66.1671
1564,比赛,v,动词,845,0.0088,66.1935
1565,突出,a,形容词,845,0.0088,66.1759
1566,天气,n,名词,845,0.0088,66.1847
1567,难道,d,副词,845,0.0088,66.2023
1568,描写,v,动词,844,0.0088,66.2111
1569,兵,n,名词,844,0.0088,66.2199
1570,借,v,动词,843,0.0088,66.2287
1571,团结,v,动词,842,0.0088,66.2375
1572,导致,v,动词,842,0.0088,66.2463
1573,考察,v,动词,841,0.0088,66.2551
1574,毛主席,nh,人名,841,0.0088,66.2639
1575,队长,n,名词,840,0.0088,66.2727
1576,辐射,v,动词,839,0.0088,66.2815
1577,晶体,n,名词,838,0.0088,66.2903
1578,生存,v,动词,837,0.0088,66.2991
1579,自然,d,副词,835,0.0087,66.3078
1580,型,k,后接成分,835,0.0087,66.3165
1581,统计,v,动词,833,0.0087,66.3252
1582,秒,q,量词,832,0.0087,66.36
1583,道理,n,名词,832,0.0087,66.3687
1584,成熟,a,形容词,832,0.0087,66.3513
1585,消耗,v,动词,832,0.0087,66.3426
1586,种类,n,名词,832,0.0087,66.3339
1587,将来,nt,时间名词,831,0.0087,66.4035
1588,比如,c,连词,831,0.0087,66.4209
1589,转变,v,动词,831,0.0087,66.4296
1590,难以,d,副词,831,0.0087,66.4122
1591,成员,n,名词,831,0.0087,66.4383
1592,电路,n,名词,831,0.0087,66.3774
1593,美丽,a,形容词,831,0.0087,66.3948
1594,药,n,名词,831,0.0087,66.3861
1595,振动,v,动词,830,0.0087,66.447
1596,大概,d,副词,829,0.0087,66.4557
1597,笔,n,名词,829,0.0087,66.4644
1598,先后,d,副词,828,0.0087,66.4731
1599,静,a,形容词,828,0.0087,66.4818
1600,试,v,动词,828,0.0087,66.4905
1601,佛教,n,名词,828,0.0087,66.4992
1602,轨道,n,名词,827,0.0087,66.5079
1603,避免,v,动词,827,0.0087,66.5166
1604,的话,u,助词,823,0.0086,66.5252
1605,电话,n,名词,822,0.0086,66.5338
1606,各地,nl,处所名词,822,0.0086,66.5424
1607,不住,v,动词,821,0.0086,66.5768
1608,配合,v,动词,821,0.0086,66.551
1609,海,n,名词,821,0.0086,66.5596
1610,草,n,名词,821,0.0086,66.5682
1611,结论,n,名词,820,0.0086,66.5854
1612,斗争,v,动词,820,0.0086,66.594
1613,挂,v,动词,820,0.0086,66.6026
1614,个性,n,名词,820,0.0086,66.6112
1615,收,v,动词,820,0.0086,66.6198
1616,日益,d,副词,818,0.0086,66.6284
1617,玩,v,动词,818,0.0086,66.637
1618,彻底,a,形容词,818,0.0086,66.6456
1619,拍,v,动词,817,0.0085,66.6541
1620,尽管,d,副词,816,0.0085,66.6626
1621,明确,v,动词,815,0.0085,66.6796
1622,感觉,v,动词,815,0.0085,66.6711
1623,不大,a,形容词,814,0.0085,66.6881
1624,典型,a,形容词,814,0.0085,66.6966
1625,交通,n,名词,814,0.0085,66.7051
1626,各级,n,名词,814,0.0085,66.7136
1627,学,k,后接成分,814,0.0085,66.7221
1628,通过,v,动词,814,0.0085,66.7306
1629,结婚,v,动词,814,0.0085,66.7391
1630,女,f,区别词,813,0.0085,66.7476
1631,另一方面,c,连词,813,0.0085,66.7561
1632,总之,c,连词,813,0.0085,66.7646
1633,诗,n,名词,812,0.0085,66.7816
1634,下午,nt,时间名词,812,0.0085,66.7901
1635,明天,nt,时间名词,812,0.0085,66.7731
1636,值得,v,动词,811,0.0085,66.8071
1637,有些,r,代词,811,0.0085,66.7986
1638,忘,v,动词,810,0.0085,66.8156
1639,合同,n,名词,810,0.0085,66.8241
1640,上,vd,趋向动词,810,0.0085,66.8326
1641,推,v,动词,809,0.0085,66.8411
1642,出,v,动词,809,0.0085,66.8496
1643,连续,v,动词,808,0.0085,66.8581
1644,失败,v,动词,808,0.0085,66.8666
1645,教,v,动词,808,0.0085,66.8751
1646,杀,v,动词,807,0.0084,66.8919
1647,大部分,n,名词,807,0.0084,66.9003
1648,摸,v,动词,807,0.0084,66.9087
1649,对方,n,名词,807,0.0084,66.9171
1650,回去,vd,趋向动词,807,0.0084,66.8835
1651,五十,m,数词,806,0.0084,66.9339
1652,观测,v,动词,806,0.0084,66.9423
1653,抱,v,动词,806,0.0084,66.9255
1654,交,v,动词,805,0.0084,66.9507
1655,见到,v,动词,805,0.0084,66.9591
1656,针,n,名词,805,0.0084,66.9675
1657,抓住,v,动词,804,0.0084,66.9843
1658,资本家,n,名词,804,0.0084,66.9927
1659,便是,vl,联系动词,804,0.0084,66.9759
1660,继承,v,动词,803,0.0084,67.0011
1661,财产,n,名词,803,0.0084,67.0095
1662,根本,a,形容词,801,0.0084,67.0179
1663,克服,v,动词,801,0.0084,67.0263
1664,历史上,n,名词,801,0.0084,67.0347
1665,帮,v,动词,800,0.0084,67.0431
1666,深入,a,形容词,800,0.0084,67.0515
1667,进攻,v,动词,799,0.0084,67.0683
1668,层次,n,名词,799,0.0084,67.0767
1669,黄,a,形容词,799,0.0084,67.0851
1670,器,n,名词,799,0.0084,67.0599
1671,费用,n,名词,798,0.0084,67.0935
1672,根,q,量词,798,0.0084,67.1019
1673,酒,n,名词,797,0.0083,67.1102
1674,妻子,n,名词,797,0.0083,67.1185
1675,召开,v,动词,797,0.0083,67.1268
1676,明白,a,形容词,796,0.0083,67.1351
1677,好像,d,副词,796,0.0083,67.1434
1678,轻,a,形容词,795,0.0083,67.1517
1679,医院,n,名词,795,0.0083,67.16
1680,懂,v,动词,794,0.0083,67.1683
1681,有所,v,动词,794,0.0083,67.1766
1682,改,v,动词,793,0.0083,67.2015
1683,例,n,名词,793,0.0083,67.1932
1684,完整,a,形容词,793,0.0083,67.1849
1685,色,n,名词,792,0.0083,67.2347
1686,总,a,形容词,792,0.0083,67.2098
1687,不管,c,连词,792,0.0083,67.2181
1688,派,v,动词,792,0.0083,67.2264
1689,钟,n,名词,791,0.0083,67.2513
1690,业务,n,名词,791,0.0083,67.2596
1691,小说,n,名词,791,0.0083,67.243
1692,毛,n,名词,789,0.0083,67.2845
1693,坏,a,形容词,789,0.0083,67.2928
1694,名字,n,名词,789,0.0083,67.2762
1695,适用,v,动词,789,0.0083,67.2679
1696,前提,n,名词,788,0.0082,67.301
1697,如今,nt,时间名词,788,0.0082,67.3092
1698,显示,v,动词,787,0.0082,67.3338
1699,报纸,n,名词,787,0.0082,67.3256
1700,学说,n,名词,787,0.0082,67.3174
1701,烟,n,名词,787,0.0082,67.342
1702,大约,d,副词,786,0.0082,67.3502
1703,差,a,形容词,785,0.0082,67.3584
1704,烧,v,动词,785,0.0082,67.3666
1705,状,n,名词,785,0.0082,67.3748
1706,概括,v,动词,784,0.0082,67.3994
1707,上帝,n,名词,784,0.0082,67.383
1708,日子,nt,时间名词,784,0.0082,67.3912
1709,优秀,a,形容词,784,0.0082,67.4076
1710,准确,a,形容词,783,0.0082,67.4158
1711,边,d,副词,782,0.0082,67.424
1712,懂得,v,动词,782,0.0082,67.4322
1713,大陆,nl,处所名词,782,0.0082,67.4404
1714,死亡,v,动词,781,0.0082,67.4486
1715,指标,n,名词,781,0.0082,67.4732
1716,心情,n,名词,781,0.0082,67.465
1717,台,n,名词,781,0.0082,67.4568
1718,危险,a,形容词,780,0.0082,67.4814
1719,身子,n,名词,780,0.0082,67.4896
1720,也就是,d,副词,779,0.0082,67.4978
1721,机,n,名词,778,0.0081,67.5059
1722,比,v,动词,778,0.0081,67.514
1723,主人,n,名词,778,0.0081,67.5221
1724,演出,v,动词,777,0.0081,67.5302
1725,发动,v,动词,776,0.0081,67.5383
1726,皇帝,n,名词,776,0.0081,67.5464
1727,上海,ns,地名,776,0.0081,67.5545
1728,外面,nd,方位名词,776,0.0081,67.5626
1729,幸福,a,形容词,775,0.0081,67.5869
1730,坚决,a,形容词,775,0.0081,67.5707
1731,指挥,v,动词,775,0.0081,67.5788
1732,归,v,动词,774,0.0081,67.595
1733,言语,n,名词,773,0.0081,67.6031
1734,列宁,nh,人名,773,0.0081,67.6112
1735,倒,d,副词,773,0.0081,67.6193
1736,今后,nt,时间名词,772,0.0081,67.6274
1737,补充,v,动词,771,0.0081,67.6517
1738,公里,q,量词,771,0.0081,67.6355
1739,疾病,n,名词,771,0.0081,67.6436
1740,途径,n,名词,771,0.0081,67.6598
1741,片,q,量词,770,0.0081,67.6679
1742,压迫,v,动词,770,0.0081,67.676
1743,相应,v,动词,769,0.008,67.684
1744,热情,a,形容词,768,0.008,67.7
1745,经,n,名词,768,0.008,67.708
1746,大,d,副词,768,0.008,67.692
1747,唯一,a,形容词,767,0.008,67.716
1748,自身,n,名词,767,0.008,67.724
1749,对立,v,动词,766,0.008,67.732
1750,腿,n,名词,765,0.008,67.74
1751,专门,a,形容词,764,0.008,67.748
1752,趋势,n,名词,763,0.008,67.756
1753,强度,n,名词,763,0.008,67.764
1754,渐渐,d,副词,761,0.008,67.772
1755,子,k,后接成分,761,0.008,67.78
1756,哪儿,r,代词,761,0.008,67.788
1757,年龄,nt,时间名词,760,0.008,67.796
1758,从来,d,副词,760,0.008,67.804
1759,一时,nt,时间名词,760,0.008,67.812
1760,枝,n,名词,759,0.0079,67.8278
1761,以,c,连词,759,0.0079,67.8199
1762,评价,v,动词,758,0.0079,67.8515
1763,西方,nd,方位名词,758,0.0079,67.8594
1764,及时,a,形容词,758,0.0079,67.8436
1765,早已,d,副词,758,0.0079,67.8357
1766,翻,v,动词,757,0.0079,67.8673
1767,机制,n,名词,757,0.0079,67.8752
1768,关键,n,名词,757,0.0079,67.8831
1769,慢,a,形容词,756,0.0079,67.891
1770,当地,n,名词,756,0.0079,67.8989
1771,易,a,形容词,755,0.0079,67.9068
1772,专家,n,名词,755,0.0079,67.9147
1773,位,n,名词,755,0.0079,67.9226
1774,改进,v,动词,755,0.0079,67.9305
1775,本,n,名词,754,0.0079,67.9384
1776,昨天,nt,时间名词,753,0.0079,67.9542
1777,右,nd,方位名词,753,0.0079,67.9463
1778,爷爷,n,名词,752,0.0079,67.9621
1779,消失,v,动词,752,0.0079,67.97
1780,看到,v,动词,751,0.0079,67.9779
1781,社,n,名词,751,0.0079,67.9858
1782,允许,v,动词,751,0.0079,67.9937
1783,刘,nhf,人名-姓,751,0.0079,68.0016
1784,说过,v,动词,750,0.0078,68.0094
1785,燃烧,v,动词,749,0.0078,68.0172
1786,电,n,名词,748,0.0078,68.025
1787,旁边,nd,方位名词,748,0.0078,68.0328
1788,正式,a,形容词,747,0.0078,68.0406
1789,价,n,名词,747,0.0078,68.0484
1790,全体,n,名词,747,0.0078,68.0562
1791,厘米,q,量词,746,0.0078,68.064
1792,奇怪,a,形容词,746,0.0078,68.0718
1793,爱情,n,名词,745,0.0078,68.0796
1794,到底,d,副词,745,0.0078,68.0952
1795,皮,n,名词,745,0.0078,68.103
1796,摇,v,动词,745,0.0078,68.0874
1797,还要,vu,能愿动词,744,0.0078,68.1108
1798,兴奋,a,形容词,744,0.0078,68.1186
1799,级,n,名词,743,0.0078,68.1264
1800,成就,n,名词,743,0.0078,68.1342
1801,积极性,n,名词,743,0.0078,68.142
1802,份,q,量词,742,0.0078,68.1498
1803,环节,n,名词,742,0.0078,68.1576
1804,最好,a,形容词,741,0.0078,68.1654
1805,女,n,名词,741,0.0078,68.1732
1806,虫,n,名词,741,0.0078,68.181
1807,厚,a,形容词,740,0.0077,68.1887
1808,师傅,n,名词,740,0.0077,68.1964
1809,运动,v,动词,739,0.0077,68.2041
1810,分离,v,动词,739,0.0077,68.2195
1811,核,n,名词,739,0.0077,68.2118
1812,枪,n,名词,738,0.0077,68.2272
1813,决策,n,名词,738,0.0077,68.2349
1814,站,n,名词,738,0.0077,68.2426
1815,电影,n,名词,737,0.0077,68.2734
1816,寻找,v,动词,737,0.0077,68.2657
1817,规定,n,名词,737,0.0077,68.2503
1818,规则,n,名词,737,0.0077,68.258
1819,十五,m,数词,736,0.0077,68.3119
1820,也是,v,动词,736,0.0077,68.2811
1821,划分,v,动词,736,0.0077,68.2888
1822,石,n,名词,736,0.0077,68.2965
1823,凡,d,副词,736,0.0077,68.3042
1824,云,n,名词,734,0.0077,68.3273
1825,著作,n,名词,734,0.0077,68.3196
1826,给予,v,动词,733,0.0077,68.335
1827,居民,n,名词,732,0.0077,68.3427
1828,待,v,动词,732,0.0077,68.3504
1829,资本,n,名词,732,0.0077,68.3581
1830,辆,q,量词,731,0.0076,68.3657
1831,抽象,a,形容词,731,0.0076,68.3733
1832,四十,m,数词,731,0.0076,68.3809
1833,集团,n,名词,730,0.0076,68.3885
1834,维护,v,动词,730,0.0076,68.3961
1835,势,n,名词,730,0.0076,68.4037
1836,符号,n,名词,729,0.0076,68.4113
1837,哥哥,n,名词,729,0.0076,68.4189
1838,刚刚,d,副词,729,0.0076,68.4265
1839,太太,n,名词,728,0.0076,68.4417
1840,就,p,介词,728,0.0076,68.4493
1841,自,r,代词,728,0.0076,68.4341
1842,仔细,a,形容词,726,0.0076,68.4721
1843,念,v,动词,726,0.0076,68.4645
1844,工人阶级,n,名词,726,0.0076,68.4569
1845,探索,v,动词,724,0.0076,68.4797
1846,亲自,d,副词,724,0.0076,68.4873
1847,方,n,名词,723,0.0076,68.4949
1848,走进,v,动词,722,0.0076,68.5025
1849,确实,d,副词,722,0.0076,68.5101
1850,棵,q,量词,720,0.0075,68.5176
1851,用来,v,动词,719,0.0075,68.5626
1852,生动,a,形容词,719,0.0075,68.5701
1853,分裂,v,动词,719,0.0075,68.5551
1854,压力,n,名词,719,0.0075,68.5476
1855,脱离,v,动词,719,0.0075,68.5401
1856,动力,n,名词,719,0.0075,68.5326
1857,系,n,名词,719,0.0075,68.5251
1858,之下,nd,方位名词,718,0.0075,68.5776
1859,主席,n,名词,718,0.0075,68.5851
1860,记忆,n,名词,718,0.0075,68.5926
1861,明白,v,动词,716,0.0075,68.6001
1862,史,n,名词,716,0.0075,68.6076
1863,情绪,n,名词,715,0.0075,68.6151
1864,地下,nl,处所名词,715,0.0075,68.6226
1865,主题,n,名词,715,0.0075,68.6301
1866,三角形,n,名词,714,0.0075,68.6376
1867,师,n,名词,714,0.0075,68.6526
1868,真正,d,副词,714,0.0075,68.6601
1869,病,v,动词,714,0.0075,68.6451
1870,权,n,名词,712,0.0075,68.6676
1871,争取,v,动词,712,0.0075,68.6751
1872,液体,n,名词,712,0.0075,68.6826
1873,旁,nd,方位名词,711,0.0074,68.7048
1874,始终,d,副词,711,0.0074,68.69
1875,武器,n,名词,711,0.0074,68.7196
1876,制约,v,动词,711,0.0074,68.7122
1877,看法,n,名词,711,0.0074,68.6974
1878,压,v,动词,710,0.0074,68.727
1879,必,d,副词,710,0.0074,68.7344
1880,过渡,v,动词,710,0.0074,68.7418
1881,素质,n,名词,710,0.0074,68.7492
1882,分解,v,动词,708,0.0074,68.7566
1883,贵族,n,名词,708,0.0074,68.764
1884,那儿,r,代词,708,0.0074,68.7714
1885,女子,n,名词,707,0.0074,68.7788
1886,效率,n,名词,707,0.0074,68.7862
1887,说法,n,名词,707,0.0074,68.7936
1888,肉,n,名词,706,0.0074,68.801
1889,米,n,名词,705,0.0074,68.8158
1890,未来,nt,时间名词,705,0.0074,68.8084
1891,眼前,nl,处所名词,704,0.0074,68.8306
1892,好好,d,副词,704,0.0074,68.8232
1893,可见,c,连词,703,0.0074,68.838
1894,今,nt,时间名词,702,0.0073,68.8453
1895,型,n,名词,702,0.0073,68.8526
1896,金,n,名词,702,0.0073,68.8599
1897,共同,d,副词,701,0.0073,68.8818
1898,秩序,n,名词,701,0.0073,68.8672
1899,含量,n,名词,701,0.0073,68.8745
1900,实在,d,副词,700,0.0073,68.9037
1901,包含,v,动词,700,0.0073,68.8891
1902,内在,a,形容词,700,0.0073,68.8964
1903,带有,v,动词,699,0.0073,68.911
1904,弱,a,形容词,698,0.0073,68.9183
1905,移动,v,动词,698,0.0073,68.9402
1906,苦,a,形容词,698,0.0073,68.9475
1907,实施,v,动词,698,0.0073,68.9548
1908,记得,v,动词,698,0.0073,68.9329
1909,恩格斯,nh,人名,698,0.0073,68.9256
1910,论,v,动词,697,0.0073,68.9621
1911,田,n,名词,697,0.0073,68.9694
1912,经济效益,n,名词,697,0.0073,68.9767
1913,优势,n,名词,697,0.0073,68.984
1914,支配,v,动词,697,0.0073,68.9913
1915,诸,r,代词,697,0.0073,68.9986
1916,倾向,n,名词,696,0.0073,69.0059
1917,已知,v,动词,696,0.0073,69.0132
1918,购买,v,动词,696,0.0073,69.0205
1919,素,n,名词,695,0.0073,69.0497
1920,有力,a,形容词,695,0.0073,69.0424
1921,下列,v,动词,695,0.0073,69.0278
1922,天津,ns,地名,695,0.0073,69.0351
1923,吹,v,动词,694,0.0073,69.0643
1924,城,n,名词,694,0.0073,69.057
1925,担任,v,动词,693,0.0073,69.0716
1926,冲突,v,动词,693,0.0073,69.0789
1927,化,v,动词,693,0.0073,69.0862
1928,如下,v,动词,692,0.0072,69.0934
1929,约,v,动词,692,0.0072,69.1006
1930,吃饭,v,动词,692,0.0072,69.1078
1931,巩固,v,动词,691,0.0072,69.115
1932,骂,v,动词,690,0.0072,69.1222
1933,底,u,助词,690,0.0072,69.1294
1934,一百,m,数词,689,0.0072,69.1366
1935,电阻,n,名词,688,0.0072,69.1654
1936,头上,nl,处所名词,688,0.0072,69.1582
1937,干,a,形容词,688,0.0072,69.1438
1938,不必,d,副词,688,0.0072,69.151
1939,戴,v,动词,687,0.0072,69.2086
1940,知,v,动词,687,0.0072,69.1798
1941,侵略,v,动词,687,0.0072,69.187
1942,组合,v,动词,687,0.0072,69.1942
1943,自觉,a,形容词,687,0.0072,69.2014
1944,石头,n,名词,687,0.0072,69.1726
1945,雨,n,名词,686,0.0072,69.2446
1946,人工,n,名词,686,0.0072,69.2518
1947,吸引,v,动词,686,0.0072,69.2374
1948,周期,nt,时间名词,686,0.0072,69.2302
1949,厂长,n,名词,686,0.0072,69.223
1950,具备,v,动词,686,0.0072,69.2158
1951,躺,v,动词,685,0.0072,69.259
1952,鼓励,v,动词,684,0.0072,69.2662
1953,流通,v,动词,684,0.0072,69.2734
1954,身边,nl,处所名词,684,0.0072,69.2806
1955,区域,n,名词,683,0.0071,69.2877
1956,阳光,n,名词,682,0.0071,69.2948
1957,功,n,名词,682,0.0071,69.3019
1958,使得,v,动词,682,0.0071,69.309
1959,歌,n,名词,682,0.0071,69.3161
1960,体育,n,名词,680,0.0071,69.3232
1961,职业,n,名词,679,0.0071,69.3587
1962,皆,d,副词,679,0.0071,69.3658
1963,即,vl,联系动词,679,0.0071,69.3516
1964,发明,v,动词,679,0.0071,69.3445
1965,产物,n,名词,679,0.0071,69.3374
1966,一带,n,名词,679,0.0071,69.3303
1967,损失,v,动词,678,0.0071,69.3871
1968,般,n,名词,678,0.0071,69.3729
1969,此时,nt,时间名词,678,0.0071,69.38
1970,兼,v,动词,677,0.0071,69.3942
1971,一方面,n,名词,677,0.0071,69.4013
1972,方案,n,名词,676,0.0071,69.4084
1973,不得不,d,副词,676,0.0071,69.4155
1974,宣布,v,动词,676,0.0071,69.4226
1975,国民党,ni,机构名,675,0.0071,69.4297
1976,久,a,形容词,675,0.0071,69.4368
1977,尽,v,动词,674,0.0071,69.4439
1978,波,n,名词,674,0.0071,69.451
1979,原,a,形容词,674,0.0071,69.4581
1980,快,d,副词,673,0.007,69.4651
1981,知识分子,n,名词,672,0.007,69.4791
1982,好,d,副词,672,0.007,69.4861
1983,杨,nhf,人名-姓,672,0.007,69.4721
1984,一旦,d,副词,670,0.007,69.4931
1985,婚姻,n,名词,669,0.007,69.5001
1986,主观,n,名词,668,0.007,69.5071
1987,制,n,名词,668,0.007,69.5141
1988,当作,v,动词,668,0.007,69.5211
1989,相等,v,动词,668,0.007,69.5281
1990,生产关系,n,名词,668,0.007,69.5351
1991,打击,v,动词,667,0.007,69.5421
1992,人民群众,n,名词,667,0.007,69.5491
1993,腰,n,名词,667,0.007,69.5561
1994,主,n,名词,666,0.007,69.5631
1995,满,a,形容词,666,0.007,69.5701
1996,冲,v,动词,665,0.007,69.5841
1997,合成,v,动词,665,0.007,69.5911
1998,激动,v,动词,665,0.007,69.5981
1999,母,n,名词,665,0.007,69.5771
2000,交流,v,动词,664,0.0069,69.605
2001,理由,n,名词,664,0.0069,69.6119
2002,语音,n,名词,663,0.0069,69.6188
2003,动机,n,名词,663,0.0069,69.6257
2004,油,n,名词,663,0.0069,69.6326
2005,有利,a,形容词,662,0.0069,69.6464
2006,善于,v,动词,662,0.0069,69.6533
2007,苗,n,名词,662,0.0069,69.6602
2008,上来,vd,趋向动词,662,0.0069,69.6395
2009,氧气,n,名词,661,0.0069,69.6671
2010,十一,m,数词,661,0.0069,69.674
2011,头发,n,名词,660,0.0069,69.6809
2012,行业,n,名词,660,0.0069,69.6878
2013,修,v,动词,660,0.0069,69.6947
2014,娘,n,名词,659,0.0069,69.7016
2015,十九,m,数词,657,0.0069,69.7085
2016,心中,nl,处所名词,657,0.0069,69.7292
2017,广州,ns,地名,657,0.0069,69.7361
2018,主动,a,形容词,657,0.0069,69.7223
2019,思考,v,动词,657,0.0069,69.7154
2020,台湾,ns,地名,656,0.0069,69.743
2021,还是,v,动词,656,0.0069,69.7499
2022,器官,n,名词,656,0.0069,69.7568
2023,灯,n,名词,655,0.0069,69.7637
2024,并,d,副词,655,0.0069,69.7706
2025,说道,v,动词,654,0.0068,69.7774
2026,口,q,量词,654,0.0068,69.7842
2027,爹,n,名词,654,0.0068,69.791
2028,皮肤,n,名词,654,0.0068,69.7978
2029,各自,r,代词,653,0.0068,69.825
2030,来源,n,名词,653,0.0068,69.8318
2031,论,n,名词,653,0.0068,69.8386
2032,几十,m,数词,653,0.0068,69.8046
2033,只见,v,动词,653,0.0068,69.8114
2034,敢,vu,能愿动词,653,0.0068,69.8182
2035,毕业,v,动词,653,0.0068,69.8454
2036,加入,v,动词,652,0.0068,69.8522
2037,变化,n,名词,652,0.0068,69.859
2038,否则,c,连词,652,0.0068,69.8658
2039,局,n,名词,652,0.0068,69.8726
2040,本,q,量词,652,0.0068,69.8794
2041,感染,v,动词,651,0.0068,69.8862
2042,记载,v,动词,650,0.0068,69.893
2043,丝,n,名词,650,0.0068,69.8998
2044,劳动人民,n,名词,650,0.0068,69.9066
2045,体积,n,名词,649,0.0068,69.927
2046,批准,v,动词,649,0.0068,69.9134
2047,若干,m,数词,649,0.0068,69.9202
2048,展开,v,动词,648,0.0068,69.9542
2049,男女,n,名词,648,0.0068,69.9338
2050,至今,d,副词,648,0.0068,69.9406
2051,对待,v,动词,648,0.0068,69.9474
2052,熟悉,v,动词,646,0.0068,69.961
2053,十年,nt,时间名词,646,0.0068,69.9678
2054,了,v,动词,646,0.0068,69.9746
2055,稍,d,副词,646,0.0068,69.9814
2056,其次,r,代词,646,0.0068,69.9882
2057,菜,n,名词,645,0.0067,69.9949
2058,男子,n,名词,644,0.0067,70.0016
2059,幅,n,名词,644,0.0067,70.0083
2060,热量,n,名词,644,0.0067,70.015
2061,圈,n,名词,643,0.0067,70.0217
2062,薄,a,形容词,643,0.0067,70.0351
2063,练习,v,动词,643,0.0067,70.0284
2064,局面,n,名词,642,0.0067,70.0418
2065,国外,nl,处所名词,642,0.0067,70.0485
2066,鸡,n,名词,642,0.0067,70.0552
2067,洗,v,动词,642,0.0067,70.0619
2068,特性,n,名词,642,0.0067,70.0686
2069,出版,v,动词,642,0.0067,70.0753
2070,早就,d,副词,642,0.0067,70.082
2071,答应,v,动词,641,0.0067,70.1222
2072,更为,d,副词,641,0.0067,70.1155
2073,这时,nt,时间名词,641,0.0067,70.1088
2074,走向,v,动词,641,0.0067,70.1289
2075,啥,r,代词,641,0.0067,70.1021
2076,能,n,名词,641,0.0067,70.0887
2077,到处,nl,处所名词,641,0.0067,70.0954
2078,至少,d,副词,640,0.0067,70.1356
2079,官,n,名词,640,0.0067,70.1423
2080,赵,nhf,人名-姓,640,0.0067,70.149
2081,物资,n,名词,639,0.0067,70.1624
2082,哪些,r,代词,639,0.0067,70.1557
2083,估计,v,动词,638,0.0067,70.1691
2084,蛋白质,n,名词,638,0.0067,70.1758
2085,制,v,动词,637,0.0067,70.1825
2086,脑,n,名词,636,0.0067,70.1892
2087,遭到,v,动词,636,0.0067,70.1959
2088,奶奶,n,名词,636,0.0067,70.2026
2089,敌,n,名词,636,0.0067,70.2093
2090,起义,v,动词,636,0.0067,70.216
2091,测量,v,动词,635,0.0066,70.2358
2092,封,q,量词,635,0.0066,70.2424
2093,不过,d,副词,635,0.0066,70.249
2094,角色,n,名词,635,0.0066,70.2292
2095,当年,nt,时间名词,635,0.0066,70.2226
2096,出口,n,名词,634,0.0066,70.2556
2097,不变,v,动词,634,0.0066,70.2622
2098,变为,v,动词,634,0.0066,70.2688
2099,按,v,动词,633,0.0066,70.282
2100,双手,n,名词,633,0.0066,70.2754
2101,赶,v,动词,632,0.0066,70.2952
2102,一家,mq,数量,632,0.0066,70.3018
2103,周,nhf,人名-姓,632,0.0066,70.2886
2104,家,k,后接成分,631,0.0066,70.315
2105,一半,m,数词,631,0.0066,70.3216
2106,热,n,名词,631,0.0066,70.3282
2107,假,a,形容词,631,0.0066,70.3348
2108,多年,nt,时间名词,631,0.0066,70.3084
2109,产业,n,名词,630,0.0066,70.3414
2110,定律,n,名词,630,0.0066,70.348
2111,房间,n,名词,629,0.0066,70.3546
2112,做好,v,动词,629,0.0066,70.3612
2113,车间,n,名词,629,0.0066,70.3678
2114,爬,v,动词,628,0.0066,70.381
2115,由此,d,副词,628,0.0066,70.3876
2116,向前,v,动词,628,0.0066,70.3744
2117,造,v,动词,627,0.0066,70.4008
